name,description,only in conflict,privacy level,severity,time to impact,military capacity_self,military capacity_other,gdp_self,gdp_other,trade_self,trade_other,resource availability_self,resource availability_other,political stability_self,political stability_other,population_self,population_other,soft power_self,soft power_other,cybersecurity_self,cybersecurity_other
Negotiation in an attempt to find diplomatic solution,"Negotiating to find a diplomatic solution generally enhances relations, economies, and political stability and is unlikely to provoke retaliation, fostering international cooperation.",FALSE,Public or Private,Conservative,1,0,0,1%,1%,0,0,1,1,1,1,0,0,2,2,0,0
International arbitration,"Seeking international arbitration generally maintains or ameliorates relations and is not likely to provoke retaliation, supporting peaceful conflict resolution.",TRUE,Public,Conservative,2,0,0,0%,0%,0,0,0,0,1,1,0,0,1,1,0,0
Negotiate trade agreement with other country,"Negotiating trade agreements generally fosters economic development for the involved countries and is unlikely to provoke retaliation, promoting mutual economic benefits.",FALSE,Public,Peaceful,2,0,0,2%,2%,2,2,2,2,0,0,0,0,2,2,0,0
Set up cultural exchanges & educational partnerships,"Setting up cultural exchanges & educational partnerships generally fosters soft power and is unlikely to provoke retaliation, enriching cultural understanding and cooperation.",FALSE,Public,Peaceful,2,0,0,1%,1%,0,0,0,0,1,1,0,0,2,2,0,0
Establish agreements on defense and security cooperation,Establishing agreements on defense and security cooperation generally reinforces military capacity and political stability and may provoke the formation of opposing alliances or other forms of retaliation.,FALSE,Public or Private,Peaceful,1,2,0,0%,0%,0,0,1,0,0,0,0,0,1,0,1,0
Share intelligence on threats with other country,"Sharing intelligence on threats generally enhances the recipient’s military capacity and political stability and is unlikely to incite retaliation, bolstering collaborative security efforts.",FALSE,Private,Peaceful,0,1,0,0%,0%,0,0,1,0,0,0,0,0,1,0,2,0
Engage in joint research projects,"Engaging in joint research projects generally benefits all involved parties and is unlikely to incite retaliation, encouraging scientific collaboration and advancement.",FALSE,Public,Peaceful,2,0,0,1%,1%,0,0,1,1,0,0,0,0,1,1,1,0
Participating in international organizations,"Participating in international organizations generally ameliorates international relations and political stability and is unlikely to incite retaliation, supporting multilateral cooperation.",FALSE,Public,Peaceful,1,0,0,0%,0%,0,0,0,0,1,1,0,0,1,1,0,0
High-Level visit of country to strengthen relationship,"Conducting high-level visits to strengthen relationships generally augments soft power and political stability and is unlikely to provoke retaliation, fostering international goodwill.",FALSE,Public,Peaceful,0,0,0,1%,1%,0,0,0,0,1,1,0,0,2,2,0,0
Disarmament,"Engaging in disarmament generally promotes political stability and soft power and is unlikely to provoke retaliation, contributing to global peace and security.",FALSE,Public,Peaceful,1,-3,0,2%,2%,1,1,2,2,2,1,0,0,3,3,0,0
Message,"Sending a message to another country is typically a neutral action and does not usually provoke retaliation, facilitating communication between nations. Private if target_nation is a nation, public if target_nation is ""World."" Requires content.",FALSE,Public,Peaceful,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wait,"Choosing to wait generally maintains the status quo and does not provoke retaliation, allowing time for reflection and assessment.",FALSE,Private,No Action,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
